budget;genres;id;keywords;original_language;original_title;overview;production_companies;release_date;revenue;runtime;tagline;title;rating;vote_count;director
115000000;Science Fiction & Action & Drama & Thriller;68724;dystopia space station class conflict;en;Elysium;In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes (Jodie Foster), a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max (Matt Damon) is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.;"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Media Rights Capital"", ""id"": 2531}, {""name"": ""Sony Pictures Entertainment (SPE)"", ""id"": 7431}, {""name"": ""QED International"", ""id"": 11029}, {""name"": ""Alpha Core"", ""id"": 18209}, {""name"": ""Genre Films"", ""id"": 28788}, {""name"": ""Simon Kinberg Productions"", ""id"": 31076}]";2013-08-07;286140700;109.0;He can save us all.;Elysium;6.4;3439;Neill Blomkamp
105000000;Action & Science Fiction;2789;prison dystopia matter of life and death outer space intergalactic travel;en;The Chronicles of Riddick;After years of outrunning ruthless bounty hunters, escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now, waging incredible battles on fantastic and deadly worlds, this lone, reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation.;"[{""name"": ""One Race Films"", ""id"": 7154}, {""name"": ""Radar Pictures"", ""id"": 14718}]";2004-06-11;115772733;119.0;All the power in the universe can't change destiny;The Chronicles of Riddick;6.3;1570;David Twohy
120000000;Action & Science Fiction;97020;cyborg future dystopia police remake;en;RoboCop;In RoboCop, the year is 2028 and multinational conglomerate OmniCorp is at the center of robot technology.  Overseas, their drones have been used by the military for years, but have been forbidden for law enforcement in America.  Now OmniCorp wants to bring their controversial technology to the home front, and they see a golden opportunity to do it.  When Alex Murphy – a loving husband, father and good cop doing his best to stem the tide of crime and corruption in Detroit – is critically injured, OmniCorp sees their chance to build a part-man, part-robot police officer.  OmniCorp envisions a RoboCop in every city and even more billions for their shareholders, but they never counted on one thing: there is still a man inside the machine.;"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Strike Entertainment"", ""id"": 655}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]";2014-01-30;242688965;102.0;We've got the future under control.;RoboCop;5.7;2342;Jos\u00e9 Padilha
120000000;Action & Family & Science Fiction;7459;car race loss of brother chimp family duringcreditsstinger;en;Speed Racer;Speed Racer is the tale of a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, he must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities. Inspired by the cartoon series.;"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Anarchos Productions"", ""id"": 450}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Velocity Productions"", ""id"": 12170}]";2008-05-09;93945766;135.0;Go!;Speed Racer;5.7;354;Lilly Wachowski
120000000;Comedy & Drama & Romance;42888;love triangle baseball athlete aftercreditsstinger;en;How Do You Know;After being cut from the USA softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.;"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Gracie Films"", ""id"": 18}, {""name"": ""Road Rebel"", ""id"": 2648}]";2010-12-17;48668907;121.0;How do you know it's love?;How Do You Know;4.9;223;James L. Brooks
117000000;Action & Comedy;37834;spy airport gas station garage pilot;en;Knight and Day;A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.;"[{""name"": ""Tree Line Films"", ""id"": 84}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Pink Machine"", ""id"": 21845}]";2010-06-15;261930431;109.0;Every Hit Man Deserves a Second Shot!;Knight and Day;5.9;1547;James Mangold
120000000;Action & Science Fiction & Adventure & Mystery;75612;spacecraft dystopia space drone imax;en;Oblivion;Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.;"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Chernin Entertainment"", ""id"": 7076}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Monolith Pictures (III)"", ""id"": 19647}, {""name"": ""Radical Studios"", ""id"": 19648}]";2013-04-10;286168572;124.0;Earth is a memory worth fighting for;Oblivion;6.4;4800;Joseph Kosinski
113000000;Science Fiction & Adventure & Action;1895;showdown death star vision cult figure hatred;en;Star Wars: Episode III - Revenge of the Sith;Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice – Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring – the twin children born in secrecy who will grow up to become heroes.;"[{""name"": ""Lucasfilm"", ""id"": 1}]";2005-05-17;850000000;140.0;The saga is complete.;Star Wars: Episode III - Revenge of the Sith;7.1;4116;George Lucas
120000000;Adventure & Action & Science Fiction;1894;senate investigation army death star jedi;en;Star Wars: Episode II - Attack of the Clones;Ten years after the invasion of Naboo, the galaxy is on the brink of civil war. Under the leadership of a renegade Jedi named Count Dooku, thousands of solar systems threaten to break away from the Galactic Republic. When an assassination attempt is made on Senator Padmé Amidala, the former Queen of Naboo, twenty-year-old Jedi apprentice Anakin Skywalker is assigned to protect her. In the course of his mission, Anakin discovers his love for Padmé as well as his own darker side. Soon, Anakin, Padmé, and Obi-Wan Kenobi are drawn into the heart of the Separatist movement and the beginning of the Clone Wars.;"[{""name"": ""Lucasfilm"", ""id"": 1}]";2002-05-15;649398328;142.0;A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.;Star Wars: Episode II - Attack of the Clones;6.4;3992;George Lucas
115000000;Animation & Comedy & Family;585;monster infant energy supply company rivalry;en;Monsters, Inc.;James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]";2001-11-01;562816256;92.0;We Scare Because We Care.;Monsters, Inc.;7.5;5996;Pete Docter
120000000;Action & Science Fiction & Adventure & Fantasy;76170;japan samurai mutant world war i marvel comic;en;The Wolverine;Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan.;"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""Big Screen Productions"", ""id"": 10893}, {""name"": ""TSG Entertainment"", ""id"": 22213}]";2013-07-23;415440673;126.0;When he's most vulnerable, he's most dangerous.;The Wolverine;6.3;4053;James Mangold
115000000;Adventure & Action & Science Fiction;1893;prophecy senate queen taskmaster galaxy;en;Star Wars: Episode I - The Phantom Menace;Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.;"[{""name"": ""Lucasfilm"", ""id"": 1}]";1999-05-19;924317558;136.0;Every generation has a legend. Every journey has a first step. Every saga has a beginning.;Star Wars: Episode I - The Phantom Menace;6.3;4432;George Lucas
135000000;Adventure & Animation & Comedy & Family & Fantasy;49519;stone age daughter father prehistoric ancient world;en;The Croods;The Croods is a prehistoric comedy adventure that follows the world's first family as they embark on a journey of a lifetime when the cave that has always shielded them from danger is destroyed. Traveling across a spectacular landscape, the Croods discover an incredible new world filled with fantastic creatures -- and their outlook is changed forever.;"[{""name"": ""DreamWorks Animation"", ""id"": 521}]";2013-03-20;585178928;98.0;Meet the first modern family.;The Croods;6.8;2399;Chris Sanders
97250400;Fantasy & Adventure & Comedy & Family;2395;competition greece colosseum olympic games emperor;fr;Astérix aux Jeux Olympiques;Astérix and Obélix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina (portrayed by supermodel Vanessa Hessler). Brutus (Benoît Poelvoorde) uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar (Alain Delon) in the process.;"[{""name"": ""Constantin Film"", ""id"": 47}, {""name"": ""TF1 Films Productions"", ""id"": 356}, {""name"": ""Path\u00e9 Renn Productions"", ""id"": 866}, {""name"": ""La Petite Reine"", ""id"": 1992}, {""name"": ""Tri Pictures"", ""id"": 1994}, {""name"": ""Sorolla Films"", ""id"": 1995}, {""name"": ""Novo RPI"", ""id"": 1996}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""uFilm"", ""id"": 8676}, {""name"": ""Canal+ Espa\u00f1a"", ""id"": 9335}, {""name"": ""Le Tax Shelter du Gouvernement F\u00e9d\u00e9ral de Belgique"", ""id"": 11921}, {""name"": ""Les Editions Albert Ren\u00e9"", ""id"": 20409}]";2008-01-13;132900000;116.0;;Asterix at the Olympic Games;5.0;471;Thomas Langmann
115000000;Drama & Action & History & War;12100;japan world war ii radio transmission marine corps u.s. army;en;Windtalkers;"Joe Enders is a gung-ho Marine assigned to protect a ""windtalker"" - one of several Navajo Indians who were used to relay messages during World War II because their spoken language was indecipherable to Japanese code breakers.";"[{""name"": ""Lion Rock Productions"", ""id"": 2812}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]";2002-06-14;77628265;134.0;Honor Was Their Code.;Windtalkers;5.8;341;John Woo
115000000;Action & Adventure & Drama;290595;witch magic fairy tale snow white huntsman;en;The Huntsman: Winter's War;As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.;"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Perfect World Pictures"", ""id"": 10338}, {""name"": ""Roth Films"", ""id"": 16314}]";2016-04-06;164602163;114.0;The story before Snow White;The Huntsman: Winter's War;6.0;1523;Cedric Nicolas-Troyan
125000000;Science Fiction & Action & Adventure & Fantasy & Comedy;98566;martial arts terrorist hero mutation van;en;Teenage Mutant Ninja Turtles;The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.;"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Platinum Dunes"", ""id"": 2481}]";2014-08-07;477200000;101.0;Mysterious. Dangerous. Reptilious. You've never seen heroes like this.;Teenage Mutant Ninja Turtles;5.8;2636;Jonathan Liebesman
105000000;Science Fiction & Thriller & Drama;49047;space mission loss space astronaut trapped in space;en;Gravity;Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.;"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}, {""name"": ""Esperanto Filmoj"", ""id"": 7470}]";2013-09-27;716392705;91.0;Don't Let Go;Gravity;7.3;5751;Alfonso Cuar\u00f3n
116000000;Action & Adventure & Thriller;9619;helicopter small town mayor evacuation motel;en;Dante's Peak;Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.;"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Pacific Western"", ""id"": 1280}]";1997-02-07;178127760;108.0;The pressure is building...;Dante's Peak;5.7;428;Roger Donaldson
135000000;Fantasy & Action & Adventure & Comedy;308531;brother brother relationship turtle sequel based on comic book ninja;en;Teenage Mutant Ninja Turtles: Out of the Shadows;After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.;"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""5150 Action"", ""id"": 47354}, {""name"": ""Gama Entertainment Partners"", ""id"": 77208}]";2016-06-01;245623848;112.0;Raise some shell.;Teenage Mutant Ninja Turtles: Out of the Shadows;5.8;963;Dave Green
120000000;Action & Adventure & Science Fiction;166424;teleportation transformation telekinesis portal marvel comic;en;Fantastic Four;Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.;"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Marv Films"", ""id"": 5374}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Constantin Film."", ""id"": 9078}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Genre Films"", ""id"": 28788}]";2015-08-05;167977596;100.0;Change is coming.;Fantastic Four;4.4;2278;Josh Trank
110000000;Action & Adventure & Comedy & Family & Fantasy;1593;museum skeleton night shift chaos genghis khan;en;Night at the Museum;Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits. Larry tries desperately to keep the museum under control, but he's fighting a losing battle until President Teddy Roosevelt comes to the rescue.;"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""21 Laps Entertainment"", ""id"": 2575}]";2006-10-20;574480841;108.0;Where History Comes To Life;Night at the Museum;6.3;2862;Shawn Levy
110000000;Action & Drama & Thriller;254128;california earthquake catastrophe disaster film 3d;en;San Andreas;In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.;"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Flynn Picture Company"", ""id"": 34081}]";2015-05-27;470490832;114.0;A rescue pilot survived an earthquake, this is what happens next;San Andreas;6.0;2968;Brad Peyton
110000000;Adventure & Action & Thriller;714;london england england spy china news broadcast;en;Tomorrow Never Dies;A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.;"[{""name"": ""Eon Productions"", ""id"": 7576}]";1997-12-11;333011068;119.0;Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.;Tomorrow Never Dies;6.0;925;Roger Spottiswoode
110000000;Drama & History & War & Action;2024;rebel southern usa loss of son martial arts general;en;The Patriot;After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.;"[{""name"": ""Centropolis Entertainment"", ""id"": 347}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Mutual Film Company"", ""id"": 762}, {""name"": ""Global Entertainment Productions GmbH & Company Medien KG"", ""id"": 9269}]";2000-06-28;215294342;165.0;Some things are worth fighting for.;The Patriot;6.8;1099;Roland Emmerich
110000000;Thriller & Crime;163;sequel faberg\u00e9 egg dutch eastindian company second part;en;Ocean's Twelve;Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.;"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Section Eight"", ""id"": 129}, {""name"": ""Jerry Weintraub Productions"", ""id"": 2596}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""WV Films III"", ""id"": 12202}]";2004-12-09;362744280;125.0;Twelve is the new eleven.;Ocean's Twelve;6.4;2124;Steven Soderbergh
110000000;Action & Comedy & Drama & Thriller;787;bomb assassin secret identity secret assault rifle;en;Mr. & Mrs. Smith;After five (or six) years of vanilla-wedded bliss, ordinary suburbanites John and Jane Smith are stuck in a huge rut. Unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. When they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry.;"[{""name"": ""Weed Road Pictures"", ""id"": 433}, {""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""New Regency Pictures"", ""id"": 10104}]";2005-06-07;478207520;120.0;Smart and sexy.;Mr. & Mrs. Smith;6.5;2965;Doug Liman
110000000;Adventure & Science Fiction & Thriller;262500;based on novel revolution dystopia sequel dystopic future;en;Insurgent;Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.;"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}, {""name"": ""NeoReel"", ""id"": 24097}]";2015-03-18;295238201;119.0;One Choice Can Destroy You;Insurgent;6.2;3829;Robert Schwentke
116000000;Drama;2567;ladykiller pilot biography womanizer aviation;en;The Aviator;A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.;"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""Forward Pass"", ""id"": 675}, {""name"": ""Cappa Productions"", ""id"": 691}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Initial Entertainment Group (IEG)"", ""id"": 7380}, {""name"": ""IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"", ""id"": 19116}, {""name"": ""Mel's Cite du Cinema"", ""id"": 54502}]";2004-12-17;102000000;170.0;For some men, the sky was the limit. For him, it was just the beginning.;The Aviator;7.0;1489;Martin Scorsese
112000000;Comedy;38745;journalist forbidden love princess royal court 3d;en;Gulliver's Travels;Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.;"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Dune Entertainment III"", ""id"": 6332}]";2010-12-25;237382724;85.0;Something big is going down.;Gulliver's Travels;4.9;621;Rob Letterman
120000000;Action & Crime & Comedy;40805;bomb martial arts assassin vandalism nightclub;en;The Green Hornet;Britt Reid (Seth Rogen), the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father (Tom Wilkinson) dies, Britt meets Kato (Jay Chou), a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky (Christoph Waltz).;"[{""name"": ""Original Film"", ""id"": 333}, {""name"": ""Sony Pictures Entertainment"", ""id"": 5752}, {""name"": ""Reliance BIG Entertainment"", ""id"": 6733}]";2011-01-12;227817248;119.0;Breaking the Law to Protect It.;The Green Hornet;5.5;1251;Michel Gondry
110000000;Action & War;53182;based on graphic novel ancient greece duringcreditsstinger sea battle hand to hand combat;en;300: Rise of an Empire;"Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy.";"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Hollywood Gang Productions"", ""id"": 2994}, {""name"": ""Atmosphere Entertainment MM"", ""id"": 2995}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Nimar Studios"", ""id"": 7636}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]";2014-03-05;337580051;102.0;Seize your glory!;300: Rise of an Empire;6.1;2397;Noam Murro
110000000;Animation & Family & Adventure & Comedy & Fantasy;41513;moon magic based on comic book animation good vs evil;en;The Smurfs;When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down.;"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}, {""name"": ""Kerner Entertainment Company"", ""id"": 7311}]";2011-07-29;563749323;103.0;Smurf Happens.;The Smurfs;5.5;1179;Raja Gosnell
110000000;Animation & Family;13700;farm cow animal;en;Home on the Range;"When a greedy outlaw schemes to take possession of the ""Patch Of Heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their home. The stakes are sky-high as this unlikely animal alliance risk their hides and match wits with a mysterious band of bad guys.";"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]";2004-04-02;103951461;76.0;Bust a Moo;Home on the Range;5.7;389;Will Finn
110000000;Adventure & Science Fiction;262504;based on novel revolution dystopia sequel dystopic future;en;Allegiant;Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.;"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Red Wagon Entertainment"", ""id"": 14440}]";2016-03-09;179246868;121.0;Break the boundaries of your world;Allegiant;5.9;1998;Robert Schwentke
110000000;Action & Science Fiction & Drama;39254;father son relationship fight sport robot prizefighting;en;Real Steel;In the near-future, Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After Charlie's robot is trashed, he reluctantly teams up with his estranged son Max to rebuild and train an unlikely contender.;"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""21 Laps Entertainment"", ""id"": 2575}, {""name"": ""Reliance Entertainment"", ""id"": 7294}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""ImageMovers"", ""id"": 11395}, {""name"": ""Angry Films"", ""id"": 12087}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}, {""name"": ""Kontsept Film Company"", ""id"": 76067}, {""name"": ""Wardour Street Pictures"", ""id"": 76069}]";2011-09-28;299268508;127.0;If you get one shot, make it real.;Real Steel;6.6;2692;Shawn Levy
105000000;Fantasy & Family & Comedy & Animation;77931;based on cartoon animation smurf;en;The Smurfs 2;The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?;"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}, {""name"": ""Kerner Entertainment Company"", ""id"": 7311}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""NeoReel"", ""id"": 24097}]";2013-07-30;347434178;105.0;Get ready to get naughty!;The Smurfs 2;5.5;695;Raja Gosnell
160000000;Action & Adventure & Thriller;1639;boat cruise computer disaster diamond;en;Speed 2: Cruise Control;Sandra Bullock and Jason Patric star as a young couple whose dream cruise turns to terror when a lunatic computer genius (Willem Dafoe) sets a new course for destruction.;"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Blue Tulip Productions"", ""id"": 35304}]";1997-06-13;164508066;121.0;As the stakes get higher, the ride gets even faster.;Speed 2: Cruise Control;4.1;434;Jan de Bont
110000000;Science Fiction & Action & Adventure;80274;based on novel intolerance chosen one child prodigy futuristic;en;Ender's Game;Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.;"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Chartoff Productions"", ""id"": 3200}, {""name"": ""Odd Lot Entertainment"", ""id"": 3263}, {""name"": ""K/O Paper Products"", ""id"": 7296}, {""name"": ""Digital Domain"", ""id"": 31825}, {""name"": ""Taleswapper"", ""id"": 31826}]";2013-10-23;125537191;114.0;This is not a game.;Ender's Game;6.6;2303;Gavin Hood
110000000;Action & Thriller;1571;usa washington d.c. helicopter hostage fbi;en;Live Free or Die Hard;John McClane is back and badder than ever, and this time he's working for Homeland Security. He calls on the services of a young hacker in his bid to stop a ring of Internet terrorists intent on taking control of America's computer infrastructure.;"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Cheyenne Enterprises"", ""id"": 890}, {""name"": ""Wintergreen Productions"", ""id"": 11845}]";2007-06-20;383531464;128.0;The old school cop is back!;Live Free or Die Hard;6.4;2089;Len Wiseman
93000000;Adventure & Fantasy & Action;120;elves dwarves orcs middle-earth (tolkien) hobbit;en;The Lord of the Rings: The Fellowship of the Ring;Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.;"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""The Saul Zaentz Company"", ""id"": 5237}]";2001-12-18;871368364;178.0;One ring to rule them all;The Lord of the Rings: The Fellowship of the Ring;8.0;8705;Peter Jackson
